Date,Stock Price
2023-01-01,281.64389990341584
2023-01-02,212.5911710780437
2023-01-03,276.00943464319045
2023-01-04,249.38580090577
2023-01-05,282.4293605035256
2023-01-06,241.37573669813463
2023-01-07,393.1987059990816
2023-01-08,429.2369171058751
2023-01-09,248.11046869328447
2023-01-10,259.04107088746105
2023-01-11,91.57621153824051
2023-01-12,236.22242115616436
2023-01-13,454.5705280588438
2023-01-14,489.4655533238011
2023-01-15,300.19265093376924
2023-01-16,238.29525320661747
2023-01-17,387.6473961344761
2023-01-18,367.1200430258696
2023-01-19,223.527593467962
2023-01-20,175.3485943357735
2023-01-21,140.1947557110933
2023-01-22,477.93317940175035
2023-01-23,468.45679980823076
2023-01-24,307.86257278584657
2023-01-25,287.0161302317929
2023-01-26,356.24409570215363
2023-01-27,426.1001164769599
2023-01-28,97.68769981560622
2023-01-29,418.05070401855323
2023-01-30,291.63926677608686
2023-01-31,298.5312345938959
2023-02-01,143.11013748011132
2023-02-02,330.67677212883683
2023-02-03,116.06991127554076
2023-02-04,74.74190625174536
2023-02-05,247.09967509694872
2023-02-06,159.66733072424657
2023-02-07,377.1312659396609
2023-02-08,448.90855317983346
2023-02-09,479.3215180377756
2023-02-10,371.6029198318829
2023-02-11,263.30382820210787
2023-02-12,432.68115047321317
2023-02-13,121.49629916430774
2023-02-14,489.1443991815206
2023-02-15,127.14417894958399
2023-02-16,164.19381277304763
2023-02-17,74.97619704884698
2023-02-18,228.862766666828
2023-02-19,403.86142168022496
2023-02-20,242.73145202840243
2023-02-21,400.55749101991944
2023-02-22,332.7802214732184
2023-02-23,165.86857678524154
2023-02-24,98.29694658939532
2023-02-25,89.82425364378702
2023-02-26,75.31080878581221
2023-02-27,490.73011291468214
2023-02-28,436.112113158259
2023-03-01,434.697942699407
2023-03-02,260.997506290189
2023-03-03,278.9980240406476
2023-03-04,299.8352824030902
2023-03-05,87.4370180124968
2023-03-06,322.73507594197423
2023-03-07,209.30833352349208
2023-03-08,366.33731022302584
2023-03-09,323.68500011679606
2023-03-10,207.0775346254162
2023-03-11,202.88570714079765
2023-03-12,54.73902651281591
2023-03-13,286.81298498354727
2023-03-14,136.64360430624217
2023-03-15,376.8737148228629
2023-03-16,278.0972523307132
2023-03-17,89.79105859225947
2023-03-18,154.82492359656055
2023-03-19,209.03162270178802
2023-03-20,376.9355315801181
2023-03-21,298.752772619506
2023-03-22,276.68166911035826
2023-03-23,307.6069534994126
2023-03-24,57.44042315543682
2023-03-25,383.55749521172925
2023-03-26,168.44596678105634
2023-03-27,420.9806753083049
2023-03-28,181.05472079263973
2023-03-29,486.95306999552196
2023-03-30,161.8697467724217
2023-03-31,496.72068442329174
2023-04-01,245.1160002471532
2023-04-02,140.93504393578112
2023-04-03,138.49740730160897
2023-04-04,338.307138063678
2023-04-05,242.576571109484
2023-04-06,199.34071599762947
2023-04-07,188.84605788119507
2023-04-08,220.00450885819257
2023-04-09,237.5330357630997
2023-04-10,170.86788191765237
2023-04-11,276.05931697952246
2023-04-12,427.9521898226504
2023-04-13,140.02680324000414
2023-04-14,423.98022998570127
2023-04-15,462.45466409222007
2023-04-16,279.04399650709195
2023-04-17,365.65871606272555
2023-04-18,165.74868754444643
2023-04-19,282.55787842400673
2023-04-20,484.68877718018257
2023-04-21,369.6119884482525
2023-04-22,417.4619488683402
2023-04-23,172.60014382115025
2023-04-24,424.3064840293658
2023-04-25,415.5361190321892
2023-04-26,290.1060106674191
2023-04-27,169.3832175703938
2023-04-28,395.3294675371262
2023-04-29,375.30517832791236
2023-04-30,180.42338664520597
2023-05-01,271.64240692405076
2023-05-02,75.31872973332577
2023-05-03,207.73984911075098
2023-05-04,424.0666314333777
2023-05-05,393.59296074052014
2023-05-06,61.648481383123936
2023-05-07,486.74245227356136
2023-05-08,210.91426925524053
2023-05-09,382.5106917969062
2023-05-10,414.48091695873325
2023-05-11,288.82466026274506
2023-05-12,213.89038970812067
2023-05-13,198.1251553130014
2023-05-14,50.52954955001776
2023-05-15,259.1203778868273
2023-05-16,438.83076076374533
2023-05-17,497.18419453796685
2023-05-18,254.87636112906242
2023-05-19,391.948745811218
2023-05-20,62.79541651023165
2023-05-21,295.04249154729314
2023-05-22,468.89164879135905
2023-05-23,273.8351686992144
2023-05-24,456.66825721320896
2023-05-25,336.94503867415
2023-05-26,247.181836490962
2023-05-27,196.42213194051064
2023-05-28,328.4603735126467
2023-05-29,168.20309712851227
2023-05-30,478.8239509865164
2023-05-31,281.6398878088106
2023-06-01,125.1029532162323
2023-06-02,477.1994195247518
2023-06-03,122.82236036257413
2023-06-04,381.9758231391918
2023-06-05,96.87911491948684
2023-06-06,346.70081973551476
2023-06-07,378.4783801697263
2023-06-08,465.0875778248642
2023-06-09,397.2005795537682
2023-06-10,479.6752012624096
2023-06-11,107.02981189557723
2023-06-12,159.1374314559064
2023-06-13,324.29249740128097
2023-06-14,193.14334567526672
2023-06-15,399.6189267273915
2023-06-16,432.7685666537876
2023-06-17,406.15092741787265
2023-06-18,415.5355370568016
2023-06-19,294.2790328326757
2023-06-20,227.51387616970374
2023-06-21,375.5684466704172
2023-06-22,256.5752407309779
2023-06-23,181.42922624302156
2023-06-24,203.54261109306378
2023-06-25,356.34370189002084
2023-06-26,383.7837089383705
2023-06-27,105.27784328924386
2023-06-28,446.8947206558429
2023-06-29,458.94985884174946
2023-06-30,350.3422342574717
2023-07-01,196.16223985794005
2023-07-02,117.45899708061451
2023-07-03,57.124069803757685
2023-07-04,386.24322938293074
2023-07-05,382.5438750010769
2023-07-06,498.33440852972296
2023-07-07,264.4985866940357
2023-07-08,155.06963854160472
2023-07-09,119.10497179746797
2023-07-10,221.6003975593793
2023-07-11,231.7134869379345
2023-07-12,469.63823468559633
2023-07-13,413.8939691784123
2023-07-14,174.6009655899329
2023-07-15,57.070388389440566
2023-07-16,340.3449289579505
2023-07-17,111.1437761790053
2023-07-18,395.7568585796469
2023-07-19,498.552573426652
2023-07-20,410.1794971590816
2023-07-21,144.647386673789
2023-07-22,238.42024702189536
2023-07-23,296.65658686708264
2023-07-24,360.0968477564564
2023-07-25,230.26525879355628
2023-07-26,367.01091263103854
2023-07-27,291.6127551961904
2023-07-28,61.28107951283933
2023-07-29,495.4081067266255
2023-07-30,243.1431695838354
2023-07-31,463.97146895555085
2023-08-01,156.2280352953731
2023-08-02,133.6197535271156
2023-08-03,375.037017866453
2023-08-04,377.93539689000545
2023-08-05,327.27666672256083
2023-08-06,278.52917802727984
2023-08-07,375.40237704259806
2023-08-08,375.40579518444565
2023-08-09,418.579456300457
2023-08-10,191.1110092037214
2023-08-11,412.68354917707285
2023-08-12,205.29658144844004
2023-08-13,381.2452328907842
2023-08-14,433.05339912124845
2023-08-15,267.4672500208757
2023-08-16,329.49222358450766
2023-08-17,463.99059239431244
2023-08-18,51.58020598885603
2023-08-19,384.900121328552
2023-08-20,120.75948151324056
2023-08-21,373.6114417341403
2023-08-22,456.1827943914417
2023-08-23,297.69692855032804
2023-08-24,349.6556541613196
2023-08-25,118.62307026816791
2023-08-26,451.5794400291236
2023-08-27,315.04971504282656
2023-08-28,124.02694851381584
2023-08-29,372.59514854066657
2023-08-30,310.14145483503125
2023-08-31,182.8978650820994
2023-09-01,345.91915298819566
2023-09-02,184.75814020953757
2023-09-03,241.00452632023894
2023-09-04,463.28108505688664
2023-09-05,386.5937724480337
2023-09-06,425.1730044269109
2023-09-07,326.5347736538581
2023-09-08,495.5513667122062
2023-09-09,269.77052253426075
2023-09-10,143.7060520119903
2023-09-11,369.75338049284056
2023-09-12,257.59357385773524
2023-09-13,299.53407751607654
2023-09-14,66.23307429425782
2023-09-15,448.4849592224125
2023-09-16,130.38061651634712
2023-09-17,137.32131210217082
2023-09-18,181.02582376492438
2023-09-19,210.75013309019712
2023-09-20,186.6464668250946
2023-09-21,409.7566108299931
2023-09-22,357.47473495272476
2023-09-23,237.0423825118401
2023-09-24,410.5188973769515
2023-09-25,410.7077346684036
2023-09-26,427.1630315583799
2023-09-27,472.96109020431805
2023-09-28,210.32824834531328
2023-09-29,380.5715751548385
2023-09-30,385.5285887255422
2023-10-01,140.45789891793635
2023-10-02,350.07155772651777
2023-10-03,100.5060569998265
2023-10-04,176.25208793955494
2023-10-05,69.70170941382045
2023-10-06,167.284779928849
2023-10-07,378.3249449724744
2023-10-08,76.18766198348223
2023-10-09,116.30095256258825
2023-10-10,472.7532704114501
2023-10-11,412.79221331310185
2023-10-12,340.7337515010788
2023-10-13,390.60217455053544
2023-10-14,487.1350387908149
2023-10-15,326.9221304568146
2023-10-16,229.18744874931264
2023-10-17,409.64000300548446
2023-10-18,282.9911006938994
2023-10-19,350.8566562773147
2023-10-20,89.49402659657119
2023-10-21,99.82725451511767
2023-10-22,153.18039683894685
2023-10-23,473.97715228489585
2023-10-24,285.08811505366805
2023-10-25,370.627944891591
2023-10-26,184.84271632616088
2023-10-27,105.51819662961165
